layer,ppl_ablated,delta_log_ppl,s1_gap_mean,s1_raw_mean,s1_eff_mean,s2_eff_mean
0,5.866174221038818,0.022126953723074383,3.274617931672505,6.225447620664324,2.9508296889918193,1.7709223787699426
1,25.262510299682617,1.4822457739019028,3.7327981846673146,7.048568861825125,3.315770677157811,2.119421608746052
2,5.8128228187561035,0.0129905915478441,2.696054356438773,7.453153610229492,4.757099253790719,2.9285853845732555
3,5.813010215759277,0.013022829582337359,2.6637355174337114,7.419036252158029,4.755300734724317,3.005474933556148
4,5.822052478790283,0.014577142625388895,2.641978349004473,7.419947487967355,4.777969138962882,3.0912228184086934
5,5.845193862915039,0.018544045147829813,2.5489363840648105,7.472838742392404,4.923902358327593,3.1835775119917735
6,5.990695476531982,0.04313179511917942,2.6627253464290073,7.4467059544154575,4.78398060798645,3.0148578754493167
7,5.920238971710205,0.031301098389994175,2.521798951285226,7.405573436192104,4.883774484906878,3.0730749368667603
8,5.8385419845581055,0.017405388957297596,2.625635964529855,7.405090059552874,4.779454095023019,3.0676202348300388
9,5.87549352645874,0.023714344471516213,2.391226598194667,7.399304185594831,5.008077587400164,3.1268270186015537
10,5.807207107543945,0.012024034372867032,2.5841701541628157,7.40666743687221,4.822497282709394,3.054024951798575
11,5.854559421539307,0.020145029441602347,2.361481632505144,7.378951277051653,5.017469644546509,3.275400936603546
12,5.842803478240967,0.018135012763987213,2.308852161679949,7.383593695504325,5.074741533824375,3.28752510036741
13,5.812672138214111,0.012964669117434324,2.3572958196912492,7.404385839189802,5.047090019498553,3.434780785015651
14,5.864767551422119,0.02188713160977329,2.3624869074140276,7.398160253252302,5.0356733458382745,3.1265256575175693
15,5.838376045227051,0.01737696718870385,2.245190586362566,7.408332211630685,5.163141625268119,3.5010645048958913
16,5.8371901512146,0.017173826031079864,2.3930496147700717,7.416102545601981,5.023052930831909,3.188270245279585
17,5.886928558349609,0.02565867794482113,2.5995304925101146,7.455678190503802,4.856147697993687,3.1760560870170593
18,5.9615349769592285,0.038252277853387806,2.615729910986764,7.450195380619594,4.83446546963283,3.003661939076015
19,5.933900356292725,0.03360601319699441,2.74205139705113,7.477391447339739,4.735340050288609,2.906027512890952
20,5.887607097625732,0.025773933322476683,2.623242105756487,7.4873360225132535,4.864093916756766,2.9822239705494473
21,5.873807430267334,0.023427332297908388,2.7018232004983083,7.515521117619106,4.813697917120797,3.1128566094807217
22,5.888094425201416,0.025856701652672065,2.648023775645665,7.542518888201032,4.894495112555368,3.0472089988844737
23,5.8523478507995605,0.019767206210477895,2.716543367930821,7.536952359335763,4.820408991404942,2.9908864072390964
24,5.852058410644531,0.019717747887070036,2.681622334889003,7.554917063031878,4.8732947281428745,2.931615880557469
25,5.841602802276611,0.017929495095437176,2.7539089066641673,7.546347073146275,4.792438166482108,2.719270254884447
26,5.832589626312256,0.01638537496715653,2.7835291794368198,7.530218124389648,4.746688944952829,2.6380762117249623
27,5.863205432891846,0.02162073970358458,2.9244774409702847,7.547905581338065,4.62342814036778,2.441914541380746
28,5.910159587860107,0.02959711754130545,2.9777398790631975,7.500998497009277,4.523258617946079,2.3208133237702504
29,5.999399185180664,0.04458361187676707,3.2080592768532887,7.505247388567243,4.297188111713955,2.0802588292530606
30,6.18428373336792,0.07493547554965585,3.7634095464433943,7.4535649844578336,3.6901554380144392,1.7275350689888
31,7.026456356048584,0.2026067876693718,4.422794256891523,7.379120622362409,2.9563263654708862,1.5024530461856298
